URL_ID,URL,Positive Score,Negative Score,Polarity Score,Subjectivity Score,Avg Sentence Length,Percentage of complex words,Fog Index,Average Number of Words per Sentence,Complex word count,Word Count,Syllable per word,Avg Word Length
139,INDUSTRIAL REVOLUTION 4.0 – PROS AND CONS,12,3,0.59999996,0.08021390331,187,58.28877005,98.11550802,187,109,187,1.962566845,7.085561497
26907,Can You Be Great Leader Without Technical Expertise,31,7,0.6315789307,0.1433962259,265,59.62264151,129.8490566,265,158,265,2.045283019,7.041509434
55,Evolution of Advertising Industry,19,6,0.5199999792,0.0558035713,448,63.61607143,204.6464286,448,285,448,2.002232143,7.607142857
60,"What is the difference between Artificial Intelligence, Machine Learning, Statistics, and Data Mining?",60,38,0.2244897936,0.1182147164,829,60.5548854,355.8219542,829,502,829,1.993968637,7.270205066
69,Management challenges for future digitalization of healthcare services,38,11,0.5510203969,0.1096196866,447,66.44295302,205.3771812,447,297,447,2.058165548,7.536912752
39837,Impact of COVID-19 pandemic on office space and co-working industries.,26,36,-0.16129032,0.1257606488,493,54.76673428,219.1066937,493,270,493,1.778904665,6.84989858
11668,,5,1,0.6666665556,0.05217391259,115,52.17391304,66.86956522,115,60,115,1.834782609,6.608695652
125,Should celebrities be allowed to join politics?,56,19,0.4933333268,0.08600917421,872,57.22477064,371.6899083,872,499,872,1.868119266,7.558486239
43,How humans and machines are evolving to work together?,26,12,0.3684210429,0.08899297403,427,59.95316159,194.7812646,427,256,427,1.906323185,7.105386417
16747,Evolution of Advertising Industry,19,6,0.5199999792,0.0558035713,448,63.61607143,204.6464286,448,285,448,2.002232143,7.607142857
61,How Python became the first choice for Data Science.,45,4,0.8367346768,0.1200980389,408,61.51960784,187.8078431,408,251,408,1.946078431,7.210784314
90,"Online gaming: Adolescent online gaming effects demotivated, depression, musculoskeletal, and psychosomatic symptoms.",33,61,-0.2978723373,0.1094295691,859,60.06984866,367.6279395,859,516,859,1.876600698,7.286379511
20442,What is the future of mobile apps?,25,9,0.4705882215,0.07407407391,459,54.90196078,205.5607843,459,252,459,1.775599129,6.662309368
30601,Impacts of COVID 19 on Food products,13,7,0.299999985,0.08620689618,232,54.74137931,114.6965517,232,127,232,1.862068966,6.905172414
44917,How will COVID-19 affect the world of work?,27,26,0.01886792417,0.1255924168,422,46.68246445,187.4729858,422,197,422,1.623222749,6.206161137
21365,What patients like and dislike about telemedicine?,19,9,0.3571428444,0.1111111107,252,59.92063492,124.768254,252,151,252,1.908730159,7.357142857
7511,"Oil prices by the year 2040, and how it will impact the world economy.",25,27,-0.03846153772,0.08739495784,595,52.10084034,258.8403361,595,310,595,1.737815126,6.83697479
30140,How Small Business can survive the Coronavirus Crisis,24,11,0.3714285608,0.0958904107,365,58.90410959,169.5616438,365,215,365,1.876712329,6.975342466
92,How Voice search makes your business a successful business.,30,5,0.7142856939,0.07641921381,458,54.14847162,204.8593886,458,248,458,1.810043668,6.871179039
45,How machine learning will affect your business?,37,14,0.4509803833,0.1268656713,402,57.21393035,183.6855721,402,230,402,1.726368159,6.868159204
